date,bra,mex
2003-01-01,0.016964,0.00669
2003-01-02,0.3589087,2.24926
2003-01-03,1.870282,0.1589021
2003-01-06,4.749415,0.632128
2003-01-07,-0.5897205,0.1526527
2003-01-08,0.8365619,-0.2494784
2003-01-09,0.987157,0.1038873
2003-01-10,1.670843,0.2040499
2003-01-13,-1.176976,-0.9874431
2003-01-14,1.144521,0.4566016
2003-01-15,-1.411735,0.5445689
2003-01-16,-0.0589545,-1.131737
2003-01-17,-3.710689,-2.258924
2003-01-20,-1.293197,-0.8301665
2003-01-21,-2.23256,-1.316969
2003-01-22,-2.853302,-2.210139
2003-01-23,-0.4258937,0.6734077
2003-01-24,-5.037191,-0.9420497
2003-01-27,-1.99979,-1.53652
2003-01-28,-0.9142238,-0.2685331
2003-01-29,3.223135,-0.6821752
2003-01-30,0.918182,0.4093013
2003-01-31,1.971234,0.8043916
2003-02-01,0.3065647,1.147328
2003-02-02,-2.946764,-1.751691
2003-02-05,-0.9081137,1.221398
2003-02-06,-1.044874,-1.257724
2003-02-07,0.4556286,-0.3691702
2003-02-10,-0.4335179,-1.429512
2003-02-11,0.6900696,-0.1490795
2003-02-12,-1.000802,-0.7183433
2003-02-13,-4.477029,0.4674489
2003-02-14,0.7554468,0.3997332
2003-02-17,0.7073201,2.070431
2003-02-18,2.173606,0.7709802
2003-02-19,-0.9091194,-1.021493
2003-02-20,-1.046545,-0.2670459
2003-02-21,1.086583,0.2357813
2003-02-24,-0.4272691,-0.4759504
2003-02-25,-1.244049,-1.158521
2003-02-26,0.2428164,0.1762567
2003-02-27,1.426549,0.353779
2003-02-28,0.4845136,0.4047257
2003-03-03,0.0451891,0.4755333
2003-03-04,0.0984492,-1.569265
2003-03-05,-0.3657353,-0.4661001
2003-03-06,2.677102,-0.2495857
2003-03-07,1.131664,0.7759085
2003-03-10,-2.863667,-0.2765156
2003-03-11,1.653487,0.0894535
2003-03-12,1.848459,0.7769043
2003-03-13,2.637733,2.719917
2003-03-14,0.7596633,0.5845083
2003-03-17,-1.372144,-0.4779892
2003-03-18,0.8071718,1.296741
2003-03-19,-0.5619628,-1.085649
2003-03-20,-0.2558011,0.3089696
2003-03-21,2.482152,1.365217
2003-03-24,-0.9353372,-1.938121
2003-03-25,1.622459,0.9616996
2003-03-26,-0.2472839,-0.1176477
2003-03-27,1.149784,-0.3240306
2003-03-28,0.536442,0.8626827
2003-03-31,0.3735601,-1.755819
2003-04-01,0.509241,0.3719392
2003-04-02,3.33322,2.199604
2003-04-03,1.380649,0.3890052
2003-04-04,1.482536,1.477068
2003-04-07,1.551184,1.040438
2003-04-08,-0.5248921,-0.3792861
2003-04-09,-0.7052926,-0.7019969
2003-04-10,-1.442181,-0.8469027
2003-04-11,-0.314403,0.747774
2003-04-14,1.429338,1.667961
2003-04-15,2.828227,0.899082
2003-04-16,1.052744,-0.1841743
2003-04-17,4.064146,0.8949561
2003-04-18,0.0169162,0.00755
2003-04-21,-0.6598844,0.022036
2003-04-22,-1.259058,0.8776941
2003-04-23,1.838237,0.3091875
2003-04-24,0.1388834,0.5943456
2003-04-25,-0.7219822,-0.2950679
2003-04-28,1.441925,1.108225
2003-04-29,3.534763,1.677837
2003-04-30,1.678276,0.8164332
2003-05-01,-0.8767617,0.5207383
2003-05-02,1.99786,1.048936
2003-05-05,-2.725543,0.8996964
2003-05-06,-1.948643,-0.9072481
2003-05-07,2.466846,0.4150347
2003-05-08,2.151798,-1.60243
2003-05-09,2.455323,1.748372
2003-05-12,0.9198623,-0.6907562
2003-05-13,1.581282,0.0592197
2003-05-14,0.0392808,0.8195118
2003-05-15,-2.007881,0.00661
2003-05-16,-1.427015,-2.215562
2003-05-19,-1.585043,-0.5666937
2003-05-20,-1.279057,-0.3415125
2003-05-21,0.685385,0.9051871
2003-05-22,0.7868753,1.204083
2003-05-23,2.385789,0.7396351
2003-05-26,-0.025764,-0.5380855
2003-05-27,-3.122063,1.015128
2003-05-28,-0.208497,-0.878394
2003-05-29,2.774554,0.3139379
2003-05-30,-0.16108,0.5062002
2003-06-02,-1.430155,1.299379
2003-06-03,0.9479968,0.0547186
2003-06-04,2.738586,0.5115672
2003-06-05,0.9790018,-1.752953
2003-06-06,0.7301472,0.7756659
2003-06-09,-0.4852021,-3.579837
2003-06-10,0.1475982,1.867357
2003-06-11,-0.6580269,1.82172
2003-06-12,1.271456,0.9949769
2003-06-13,-0.2715428,-0.6341131
2003-06-16,0.7787646,1.051676
2003-06-17,-0.8072562,1.591213
2003-06-18,-1.806141,-0.7037749
2003-06-19,-0.1932444,0.0153471
2003-06-20,-1.639563,0.5048572
2003-06-23,-0.3147028,-0.910969
2003-06-24,1.158067,0.8222414
2003-06-25,-0.4525375,0.134596
2003-06-26,-0.9838616,0.0360878
2003-06-27,0.5743965,0.5149794
2003-06-30,-0.7231851,-0.5007992
2003-07-01,2.055807,0.371114
2003-07-02,0.5177544,0.2855189
2003-07-03,-0.5595414,0.00111
2003-07-04,0.7535708,0.6810926
2003-07-07,0.0435986,1.075759
2003-07-08,0.1178178,-1.384487
2003-07-09,0.3300286,-0.1811338
2003-07-10,-1.581597,-0.3855388
2003-07-11,-0.9592384,0.0475384
2003-07-14,2.232315,1.269567
2003-07-15,1.342297,-0.9722859
2003-07-16,-1.276215,-0.7590396
2003-07-17,0.3159396,0.1607064
2003-07-18,0.1515929,0.2673615
2003-07-21,-0.3818974,-0.5606659
2003-07-22,-0.2541606,1.163848
2003-07-23,0.2557598,0.7319025
2003-07-24,0.0449927,0.1571353
2003-07-25,0.509733,0.6256065
2003-07-28,-0.8274084,0.0857407
2003-07-29,-0.8882241,-1.091232
2003-07-30,-1.438256,0.3673399
2003-07-31,-0.2211521,0.9476124
2003-08-01,-3.02935,-1.617271
2003-08-04,-3.166674,0.7045438
2003-08-05,0.6994353,-2.07702
2003-08-06,-0.5046717,-0.4244061
2003-08-07,2.752948,0.7997525
2003-08-08,1.419949,0.5089543
2003-08-11,0.5588803,0.468742
2003-08-12,-0.8416912,-0.6021003
2003-08-13,-0.4704966,-0.00442
2003-08-14,1.876477,1.051631
2003-08-15,1.37507,-0.2813998
2003-08-18,2.030667,1.096236
2003-08-19,-0.8920118,-0.9513358
2003-08-20,1.45181,-0.5301943
2003-08-21,0.8963684,0.4234406
2003-08-22,0.1226574,-0.1828035
2003-08-25,-0.4223306,-0.6119267
2003-08-26,1.43948,-0.5542988
2003-08-27,1.750678,0.5229042
2003-08-28,1.420308,0.0998317
2003-08-29,0.2236983,-0.00174
2003-09-01,0.3837338,0.4068321
2003-09-02,0.6379074,0.4010941
2003-09-03,2.487236,1.35412
2003-09-04,1.884849,0.7884635
2003-09-05,1.772515,0.6544688
2003-09-08,0.8865784,0.1675242
2003-09-09,0.1432777,-2.096977
2003-09-10,4.034608,0.8782131
2003-09-11,1.051697,-0.0496697
2003-09-12,0.586614,-0.4332273
2003-09-15,-1.939057,0.3321185
2003-09-16,0.0856735,0.2015267
2003-09-17,1.134419,0.6080595
2003-09-18,1.850505,1.216343
2003-09-19,-0.4032152,0.265001
2003-09-22,-0.9935907,-0.0637005
2003-09-23,-1.942442,0.7425651
2003-09-24,-1.09965,-0.7764023
2003-09-25,-1.493925,-0.2258612
2003-09-26,-0.214775,-0.775929
2003-09-29,1.459601,-0.7622544
2003-09-30,0.1081662,0.0900224
2003-10-01,3.381946,1.868894
2003-10-02,1.692901,-3.141274
2003-10-03,1.377098,0.0783216
2003-10-06,1.319088,-0.2064921
2003-10-07,0.2046317,-0.5177267
2003-10-08,2.015754,0.4164621
2003-10-09,-0.5502799,1.229939
2003-10-10,-0.3458969,0.4155488
2003-10-13,1.504405,0.5251089
2003-10-14,0.1343212,-1.217302
2003-10-15,-0.3187269,0.1933101
2003-10-16,-0.4103204,-0.8384246
2003-10-17,-1.177279,-0.1959676
2003-10-20,0.9611936,1.41232
2003-10-21,0.4806242,0.7142589
2003-10-22,-0.7764278,-0.5995353
2003-10-23,-1.341907,-0.3675526
2003-10-24,0.3862812,-0.2571811
2003-10-27,-0.3387832,1.161457
2003-10-28,1.486275,0.6611717
2003-10-29,-0.4582957,-0.5942088
2003-10-30,0.5608248,1.175845
2003-10-31,-0.6584696,0.8669991
2003-11-03,2.175218,2.447489
2003-11-04,0.8831422,0.1837482
2003-11-05,-1.016484,-0.135283
2003-11-06,0.4220484,1.097146
2003-11-07,0.4343396,1.379771
2003-11-10,-1.333224,-0.9915069
2003-11-11,-0.5054557,0.3815919
2003-11-12,0.7407763,0.8224108
2003-11-13,-0.6676605,-0.2575603
2003-11-14,0.5456372,0.1970143
2003-11-17,-1.34841,-1.416808
2003-11-18,0.6977459,0.6740899
2003-11-19,-0.4266835,-2.054537
2003-11-20,0.9606173,0.3180247
2003-11-21,0.8067947,-0.3734706
2003-11-24,1.763217,-2.220562
2003-11-25,0.1779709,0.6065945
2003-11-26,-1.04221,0.8835199
2003-11-27,0.8372504,0.9876954
2003-11-28,0.8315517,0.2333102
2003-12-01,2.041497,0.9385656
2003-12-02,0.0795089,0.2590135
2003-12-03,0.4734795,0.2524468
2003-12-04,-0.5957447,0.1233946
2003-12-05,2.189563,-0.1386479
2003-12-08,0.3279248,-0.1738554
2003-12-09,2.372747,-0.1573389
2003-12-10,-0.5789246,-1.177114
2003-12-11,0.2064311,1.016665
2003-12-12,-0.2272702,-0.3398765
2003-12-15,-0.0776907,-1.198364
2003-12-16,-0.2804689,-0.5597602
2003-12-17,1.359176,1.221053
2003-12-18,0.4852265,1.500791
2003-12-19,0.4806982,0.2517621
2003-12-22,1.743599,-0.4896745
2003-12-23,0.7686631,0.7897203
2003-12-24,0.0756195,0.2070408
2003-12-25,0.0162028,0.00733
2003-12-26,0.7049496,0.4735247
2003-12-29,1.757247,0.8630694
2003-12-30,-0.24558,0.9297467
2003-12-31,0.4662491,-0.0395766
