"wage","educ","exper","tenure","female","married"
3.09999990463257,11,2,0,1,0
3.24000000953674,12,22,2,1,1
3,11,2,0,0,0
6,8,44,28,0,1
5.30000019073486,12,7,2,0,1
8.75,16,9,8,0,1
11.25,18,15,7,0,0
5,12,5,3,1,0
3.59999990463257,12,26,4,1,0
18.1800003051758,17,22,21,0,1
6.25,16,8,2,1,0
8.13000011444092,13,3,0,1,0
8.77000045776367,12,15,0,0,1
5.5,12,18,3,0,0
22.2000007629395,12,31,15,0,1
17.3299999237061,16,14,0,0,1
7.5,12,10,0,1,1
10.6300001144409,13,16,10,1,0
3.59999990463257,12,13,0,1,1
4.5,12,36,6,1,1
6.88000011444092,12,11,4,1,0
8.47999954223633,12,29,13,0,1
6.32999992370605,16,9,9,1,0
0.529999971389771,12,3,1,1,0
6,11,37,8,1,0
9.5600004196167,16,3,3,0,1
7.78000020980835,16,11,10,0,1
12.5,16,31,0,0,1
12.5,15,30,0,0,1
3.25,8,9,1,1,1
13,14,23,5,0,1
4.5,14,2,5,1,0
9.68000030517578,13,16,16,1,0
5,12,7,3,1,0
4.67999982833862,12,3,0,1,0
4.26999998092651,16,22,4,1,1
6.15000009536743,12,15,6,1,1
3.50999999046326,4,39,15,0,1
3,14,3,3,1,1
6.25,12,11,0,1,0
7.80999994277954,12,3,0,1,1
10,12,20,5,1,1
4.5,14,16,0,1,1
4,11,45,12,1,1
6.38000011444092,13,11,4,1,0
13.6999998092651,15,20,13,0,1
1.66999995708466,10,1,0,0,0
2.9300000667572,12,36,2,1,1
3.65000009536743,14,9,2,0,0
2.90000009536743,12,15,1,1,1
1.62999999523163,12,18,0,1,0
8.60000038146973,16,3,2,1,0
5,12,15,5,0,1
6,12,7,7,0,1
2.5,12,2,0,0,0
3.25,15,3,0,0,0
3.40000009536743,16,1,1,1,0
10,8,13,0,0,0
21.6299991607666,18,8,8,1,0
4.38000011444092,16,7,0,0,0
11.710000038147,13,40,20,1,0
12.3900003433228,14,42,5,0,0
6.25,10,36,8,0,0
3.71000003814697,10,13,0,1,0
7.78000020980835,14,9,3,0,0
19.9799995422363,14,26,23,0,1
6.25,16,7,4,1,1
10,12,25,3,0,1
5.71000003814697,16,10,5,0,1
2,12,3,2,1,0
5.71000003814697,16,3,0,1,0
13.0799999237061,17,17,2,0,1
4.90999984741211,12,17,8,0,1
2.91000008583069,12,20,34,1,1
3.75,12,7,0,1,1
11.8999996185303,13,24,19,0,1
4,12,28,0,1,1
3.09999990463257,12,2,1,1,0
8.44999980926514,12,19,13,0,1
7.1399998664856,18,13,0,0,1
4.5,9,22,5,0,1
4.65000009536743,16,3,1,0,0
2.90000009536743,10,4,0,1,0
6.67000007629395,12,7,5,0,0
3.5,12,6,2,1,0
3.25999999046326,12,13,3,1,1
3.25,12,14,0,1,1
8,12,14,4,1,0
9.85000038146973,8,40,24,0,1
7.5,12,11,7,0,1
5.90999984741211,12,14,6,0,1
11.7600002288818,14,40,39,0,1
3,12,1,0,1,0
4.80999994277954,12,2,0,1,0
6.5,12,4,1,1,0
4,9,19,1,1,1
3.5,13,1,0,0,0
13.1599998474121,12,34,22,0,1
4.25,14,5,2,0,1
3.5,12,3,0,0,0
5.13000011444092,15,6,6,1,0
3.75,12,14,0,1,1
4.5,12,35,12,1,1
7.63000011444092,12,8,4,1,0
15,14,7,7,0,1
6.84999990463257,15,11,3,1,1
13.3299999237061,12,14,11,0,1
6.67000007629395,12,35,10,0,0
2.52999997138977,12,46,0,1,0
9.80000019073486,17,7,0,0,1
3.36999988555908,11,45,12,0,1
24.9799995422363,18,29,25,0,1
5.40000009536743,12,6,3,0,1
6.1100001335144,14,15,0,0,1
4.19999980926514,14,33,16,1,1
3.75,10,15,0,0,0
3.5,14,5,0,1,1
3.64000010490417,12,7,2,0,0
3.79999995231628,15,6,1,0,1
3,8,33,12,1,1
5,16,2,1,1,1
4.63000011444092,14,4,0,1,1
3,15,1,0,0,0
3.20000004768372,12,29,0,1,0
3.91000008583069,18,17,3,0,1
6.42999982833862,16,17,3,1,1
5.48000001907349,10,36,3,1,1
1.5,8,31,30,0,0
2.90000009536743,10,23,2,1,0
5,11,13,1,0,1
8.92000007629395,18,3,3,0,1
5,15,15,0,0,0
3.51999998092651,12,48,1,0,1
2.90000009536743,11,6,0,1,0
4.5,12,12,0,0,1
2.25,12,5,0,1,0
5,14,19,5,0,1
10,16,9,3,0,1
3.75,2,39,13,0,1
10,14,28,11,1,1
10.9499998092651,16,23,20,0,1
7.90000009536743,12,2,0,0,0
4.71999979019165,12,15,1,1,0
5.84000015258789,13,5,0,1,1
3.82999992370605,12,18,2,1,0
3.20000004768372,15,2,2,1,0
2,10,3,0,1,0
4.5,12,31,4,1,1
11.5500001907349,16,20,5,1,1
2.14000010490417,13,34,15,1,1
2.38000011444092,9,5,0,0,0
3.75,12,11,0,0,0
5.51999998092651,13,31,3,0,0
6.5,12,8,5,1,1
3.09999990463257,12,2,2,1,0
10,14,18,5,0,1
6.63000011444092,16,3,0,0,1
10,16,3,2,0,1
2.30999994277954,9,4,1,1,0
6.88000011444092,18,4,4,0,0
2.82999992370605,10,1,0,0,0
3.13000011444092,10,1,0,1,0
8,13,28,5,0,1
4.5,12,47,4,1,1
8.64999961853027,18,13,1,1,0
2,13,2,6,1,0
4.75,12,48,2,1,1
6.25,13,6,5,1,1
6,13,8,0,0,1
15.3800001144409,13,25,21,0,1
14.5799999237061,18,13,7,1,0
12.5,12,8,1,0,0
5.25,12,19,10,1,1
2.17000007629395,13,1,4,1,0
7.1399998664856,12,43,5,1,0
6.21999979019165,12,19,9,1,1
9,12,11,5,1,1
10,14,43,4,0,1
5.76999998092651,10,44,3,0,1
4,12,22,11,1,1
8.75,16,3,2,0,1
6.53000020980835,16,3,2,1,0
7.59999990463257,12,41,11,1,0
5,14,5,0,0,0
5,12,14,11,1,0
21.8600006103516,12,24,16,0,1
8.64000034332275,12,28,8,0,1
3.29999995231628,12,25,8,0,1
4.44000005722046,12,3,0,0,0
4.55000019073486,12,11,0,0,1
3.5,12,7,6,1,1
6.25,16,9,2,0,1
3.84999990463257,16,5,0,0,1
6.17999982833862,14,9,3,1,1
2.91000008583069,11,1,0,1,0
6.25,16,2,1,1,0
6.25,12,13,0,1,1
9.05000019073486,12,10,2,0,1
10,17,5,3,0,1
11.1099996566772,12,30,8,0,1
6.88000011444092,12,31,19,0,1
8.75,16,1,2,0,0
10,8,9,0,0,1
3.04999995231628,12,10,0,1,1
3,12,38,0,1,1
5.80000019073486,12,19,6,1,1
4.09999990463257,16,5,0,1,1
8,12,26,2,0,1
6.15000009536743,12,35,12,1,0
2.70000004768372,9,2,0,1,0
2.75,13,1,2,1,0
3,16,19,10,1,1
3,14,3,2,1,0
7.3600001335144,8,36,24,0,1
7.5,14,29,24,0,1
3.5,13,1,2,0,0
8.10000038146973,12,38,3,1,1
3.75,18,1,2,0,0
3.25,9,29,0,0,1
5.82999992370605,8,36,15,1,1
3.5,8,4,0,0,0
3.32999992370605,12,45,4,1,1
4,14,22,3,1,0
3.5,12,20,4,1,1
6.25,16,5,0,0,1
2.95000004768372,8,15,2,1,1
5.71000003814697,13,10,2,1,1
3,9,3,0,1,0
22.8600006103516,16,16,7,0,1
9,12,38,1,0,1
8.32999992370605,15,33,26,0,1
3,11,2,0,0,0
5.75,14,6,5,0,1
6.76000022888184,12,19,3,0,1
10,12,29,0,0,1
3,12,2,0,0,0
3.5,18,3,1,1,0
3.25,12,4,0,0,0
4,12,10,1,1,0
2.92000007629395,12,4,0,1,0
3.05999994277954,12,14,10,1,0
3.20000004768372,12,15,5,1,1
4.75,12,19,0,0,1
3,14,17,0,1,1
18.1599998474121,16,29,7,0,1
3.5,12,2,0,1,0
4.1100001335144,14,5,0,0,0
1.96000003814697,11,38,3,1,0
4.28999996185303,12,3,0,1,0
3,10,47,0,0,0
6.44999980926514,12,7,6,0,1
5.19999980926514,6,47,13,0,1
4.5,13,23,2,1,0
3.88000011444092,12,12,3,0,1
3.45000004768372,10,11,0,1,0
10.9099998474121,12,25,23,0,0
4.09999990463257,14,6,0,1,1
3,13,3,1,0,0
5.90000009536743,12,14,7,0,1
18,18,13,0,1,0
4,12,9,0,0,0
3,12,1,0,0,0
3.54999995231628,12,6,0,1,1
3,12,11,1,1,1
8.75,12,47,44,0,1
2.90000009536743,8,49,6,1,0
6.26000022888184,13,37,17,1,1
3.5,13,2,0,1,0
4.59999990463257,14,7,0,1,1
6,12,22,8,0,0
2.89000010490417,10,8,0,1,0
5.57999992370605,16,1,1,0,1
4,12,43,6,1,1
6,16,2,2,0,0
4.5,12,2,1,1,0
2.92000007629395,14,1,3,0,0
4.32999992370605,18,1,0,0,0
18.8899993896484,17,26,20,0,1
4.28000020980835,13,1,1,1,0
4.57000017166138,14,37,7,1,1
6.25,15,12,4,1,1
2.95000004768372,14,41,23,0,1
8.75,12,24,1,0,0
8.5,8,38,26,0,0
3.75,12,18,0,1,1
3.15000009536743,12,26,1,0,1
5,8,45,2,0,0
6.46000003814697,12,27,0,0,1
2,9,2,0,0,0
4.78999996185303,12,41,8,0,1
5.78000020980835,16,11,4,0,1
3.1800000667572,12,5,0,1,1
4.67999982833862,16,3,1,1,0
4.09999990463257,12,3,2,1,0
2.91000008583069,12,4,0,0,1
6,13,21,13,0,1
3.59999990463257,10,34,26,1,1
3.95000004768372,6,49,6,0,1
7,12,6,5,0,1
3,12,26,9,1,1
6.07999992370605,16,9,0,0,0
8.63000011444092,12,23,9,0,1
3,8,33,2,0,1
3.75,12,5,2,1,1
2.90000009536743,6,49,7,0,1
3,4,48,0,0,1
6.25,11,35,31,0,1
3.5,11,23,2,1,0
3,7,26,1,1,0
3.24000000953674,12,16,0,1,1
8.02000045776367,18,23,3,1,1
3.32999992370605,12,36,8,1,1
5.25,16,4,0,0,0
6.25,12,10,0,0,1
3.5,14,18,2,0,1
2.95000004768372,12,3,1,0,0
3,10,7,0,1,1
4.69000005722046,10,7,7,0,0
3.73000001907349,9,33,2,1,0
4,10,34,12,0,1
4,12,8,0,1,1
2.90000009536743,12,17,1,1,1
3.04999995231628,12,2,0,1,0
5.05000019073486,10,5,0,1,0
13.9499998092651,16,41,16,0,1
18.1599998474121,16,35,28,0,1
6.25,16,11,4,0,0
5.25,12,4,0,0,0
4.78999996185303,12,12,3,1,1
3.34999990463257,7,35,0,1,0
3,8,33,0,0,1
8.43000030517578,16,8,6,0,1
5.69999980926514,16,2,0,0,0
11.9799995422363,18,8,10,0,1
3.5,13,29,1,1,1
4.23999977111816,10,14,5,0,1
7,16,26,3,1,1
6,14,11,3,1,1
12.2200002670288,16,10,2,0,0
4.5,12,13,0,0,1
3,9,23,20,1,1
2.90000009536743,11,1,2,0,0
15,11,35,31,0,1
4,12,5,2,0,1
5.25,11,13,11,0,1
4,12,22,3,0,1
3.29999995231628,12,21,9,1,1
5.05000019073486,12,19,0,1,1
3.57999992370605,12,13,0,0,0
5,14,15,5,0,1
4.57000017166138,14,3,0,0,1
12.5,18,6,2,0,0
3.45000004768372,12,6,5,1,1
4.63000011444092,12,16,1,1,0
10,12,31,2,0,1
2.92000007629395,11,1,0,1,0
4.51000022888184,12,5,2,0,0
6.5,17,3,0,0,1
7.5,16,11,0,0,1
3.53999996185303,13,6,7,1,1
4.19999980926514,13,11,3,1,1
3.50999999046326,12,7,2,1,1
4.5,14,5,0,0,1
3.34999990463257,14,5,4,1,1
2.91000008583069,11,2,2,0,0
5.25,10,44,7,0,1
4.05000019073486,8,44,25,0,1
3.75,14,13,0,1,1
3.40000009536743,12,26,15,1,1
3,10,2,1,1,0
6.28999996185303,17,10,3,0,1
2.53999996185303,9,2,0,1,0
4.5,12,35,0,1,1
3.13000011444092,12,6,5,1,1
6.3600001335144,14,8,1,0,1
4.67999982833862,16,1,0,0,0
6.80000019073486,12,14,10,0,1
8.52999973297119,10,14,6,0,1
4.17000007629395,0,22,10,1,0
3.75,14,8,4,1,1
11.1000003814697,15,1,4,1,0
3.25999999046326,16,15,5,1,1
9.13000011444092,12,14,12,0,1
4.5,11,37,10,0,1
3,11,1,1,1,0
8.75,12,4,4,0,1
4.1399998664856,13,29,0,1,1
2.86999988555908,12,45,8,1,1
3.34999990463257,13,22,0,1,0
6.07999992370605,16,42,10,0,0
3,15,9,0,0,0
4.19999980926514,16,8,0,1,1
5.59999990463257,15,31,15,1,0
10,12,24,24,0,1
12.5,18,16,5,0,1
3.75999999046326,6,6,0,0,0
3.09999990463257,6,14,0,1,0
4.28999996185303,12,47,25,1,1
10.9200000762939,12,34,5,0,1
7.5,16,6,2,1,1
4.05000019073486,9,7,4,1,1
4.65000009536743,12,27,2,0,1
5,11,24,5,0,1
2.90000009536743,10,18,0,1,1
8,12,12,3,1,0
8.43000030517578,8,27,3,0,1
2.92000007629395,9,49,0,1,0
6.25,17,4,0,1,0
6.25,16,24,2,1,1
5.1100001335144,11,3,0,0,0
4,10,2,0,1,0
4.44000005722046,8,29,11,0,1
6.88000011444092,13,34,21,0,1
5.42999982833862,14,10,3,0,1
3,13,5,0,1,0
2.90000009536743,11,2,0,1,0
6.25,7,39,21,0,1
4.34000015258789,16,5,2,1,0
3.25,12,14,2,1,1
7.26000022888184,13,8,2,0,0
6.34999990463257,14,10,1,1,1
5.63000011444092,16,2,2,0,1
8.75,14,9,3,0,1
3.20000004768372,11,1,0,0,0
3,8,45,1,1,1
3,14,33,3,1,1
12.5,17,21,18,0,1
2.88000011444092,10,2,0,1,0
3.34999990463257,12,9,1,0,1
6.5,12,33,2,0,1
10.3800001144409,18,16,2,0,1
4.5,14,10,0,0,1
10,18,9,8,0,0
3.80999994277954,12,8,1,1,1
8.80000019073486,16,9,1,0,1
9.42000007629395,14,23,0,1,1
6.32999992370605,12,23,8,0,1
4,9,22,18,0,0
2.90000009536743,12,37,0,1,1
20,12,22,4,0,1
11.25,17,28,25,0,1
3.5,12,14,0,1,0
6,15,19,4,1,1
14.3800001144409,17,10,9,0,1
6.3600001335144,16,25,0,0,1
3.54999995231628,12,21,0,1,1
3,15,32,0,0,1
4.5,16,21,10,0,1
6.63000011444092,12,36,0,1,0
9.30000019073486,15,2,2,0,1
3,12,11,0,1,1
3.25,12,40,2,1,0
1.5,12,11,1,1,1
5.90000009536743,12,9,7,1,1
8,16,23,4,0,0
2.90000009536743,11,1,0,1,0
3.28999996185303,14,30,13,0,0
6.5,14,41,33,0,1
4,13,6,0,1,0
6,14,11,0,0,1
4.07999992370605,12,43,17,1,1
3.75,12,39,2,1,1
3.04999995231628,8,50,24,1,0
3.5,12,26,20,1,1
2.92000007629395,3,51,30,0,0
4.5,11,3,9,0,0
3.34999990463257,15,3,1,1,1
5.94999980926514,11,15,9,0,1
8,12,17,6,0,1
3,4,36,0,0,1
5,9,31,9,0,1
5.5,12,9,4,0,1
2.65000009536743,12,42,10,1,1
3,11,3,0,1,0
4.5,12,37,14,1,1
17.5,16,23,22,0,1
8.18000030517578,13,21,5,0,0
9.09000015258789,15,11,12,0,1
11.8199996948242,16,35,13,0,1
3.25,12,42,0,1,1
4.5,12,3,0,0,0
4.5,12,13,0,0,1
3.71000003814697,9,14,7,0,1
6.5,10,14,11,0,1
2.90000009536743,12,39,1,1,1
5.59999990463257,11,11,8,0,1
2.23000001907349,8,28,3,0,1
5,6,18,0,1,1
8.32999992370605,16,6,2,0,1
2.90000009536743,12,26,1,1,0
6.25,12,21,6,0,1
4.55000019073486,16,34,2,0,1
3.27999997138977,12,17,2,1,0
2.29999995231628,10,2,0,1,0
3.29999995231628,13,5,0,1,0
3.15000009536743,13,1,0,1,0
12.5,14,40,30,0,1
5.15000009536743,16,39,21,1,0
3.13000011444092,10,1,1,0,0
7.25,12,14,5,0,1
2.90000009536743,12,2,2,1,0
1.75,11,2,1,0,0
2.89000010490417,0,42,0,1,1
2.90000009536743,5,34,0,1,1
17.7099990844727,16,10,3,0,1
6.25,16,4,3,0,1
2.59999990463257,9,4,0,0,0
6.63000011444092,15,21,3,1,1
3.5,12,31,3,1,0
6.5,12,20,14,0,1
3,12,36,1,1,0
4.38000011444092,13,7,0,0,1
10,12,15,0,0,0
4.94999980926514,7,25,17,0,1
9,17,7,0,1,1
1.42999994754791,12,17,0,1,1
3.07999992370605,12,3,1,0,0
9.32999992370605,14,12,11,0,1
7.5,12,18,5,0,1
4.75,13,47,1,0,1
5.65000009536743,12,2,0,0,0
15,16,14,2,1,1
2.26999998092651,10,2,0,1,0
4.67000007629395,15,13,18,0,1
11.5600004196167,16,5,1,0,1
3.5,14,5,4,1,0
